"match_date","hometeam","awayteam","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","a1","a2","a3","a4","a5","a6","a7","a8","a9","a10","a11"
"2016-09-18","Hertha","Schalke04","Rune Jarstein","Peter Pekarík","Niklas Stark","Sebastian Langkamp","Marvin Plattenhardt","Per Skjelbred","Vladimír Darida","Mitchell Weiser","Genki Haraguchi","Fabian Lustenberger","Vedad Ibiševic","Ralf Fährmann","Benedikt Höwedes","Matija Nastasic","Abdul Rahman Baba","Naldo","Leon Goretzka","Nabil Bentaleb","Benjamin Stambouli","Eric Maxim Choupo-Moting","Klaas Jan Huntelaar","Breel Embolo"
"2016-09-17","BayernMunich","Ingolstadt","Manuel Neuer","Javi Martínez","Rafinha","Juan Bernat","Franck Ribéry","Xabi Alonso","Arturo Vidal","Kingsley Coman","Joshua Kimmich","Renato Sanches","Robert Lewandowski","Ørjan Nyland","Tobias Levels","Markus Suttner","Marcel Tisserand","Marvin Matip","Alfredo Morales","Mathew Leckie","Roger","Pascal Groß","Moritz Hartmann","Dario Lezcano"
"2016-09-17","Hamburg","RBLeipzig","René Adler","Emir Spahic","Johan Djourou","Douglas Santos","Gotoku Sakai","Gideon Jung","Lewis Holtby","Aaron Hunt","Filip Kostic","Nicolai Müller","Bobby Wood","Péter Gulácsi","Bernardo","Willi Orban","Marcel Halstenberg","Marvin Compper","Marcel Sabitzer","Naby Keïta","Emil Forsberg","Stefan Ilsanker","Diego Demme","Yussuf Poulsen"
"2016-09-17","EinFrankfurt","Leverkusen","Lukáš Hrádecký","Vallejo","Bastian Oczipka","David Abraham","Timothy Chandler","Szabolcs Huszti","Marco Fabián","Mijat Gacinovic","Makoto Hasebe","Haris Seferovic","Alexander Meier","Bernd Leno","Jonathan Tah","Tin Jedvaj","Ömer Toprak","Benjamin Henrichs","Julian Baumgartlinger","Julian Brandt","Charles Aránguiz","Kevin Kampl","Javier Hernández","Admir Mehmedi"
"2016-09-18","Augsburg","Mainz","Marwin Hitz","Paul Verhaegh","Kostas Stafylidis","Jeffrey Gouweleeuw","Martin Hinteregger","Daniel Baier","Ja-cheol Koo","Dominik Kohr","Dong-won Ji","Raúl Bobadilla","Alfreð Finnbogason","Jonas Lössl","Giulio Donati","Leon Balogun","Stefan Bell","Daniel Brosinski","Levin Öztunali","Yunus Malli","Fabian Frei","Jean-Philippe Gbamin","Jhon Córdoba","Karim Onisiwo"
"2016-09-20","Wolfsburg","Dortmund","Koen Casteels","Philipp Wollscheid","Jeffrey Bruma","Ricardo Rodríguez","Vieirinha","Yannick Gerhardt","Jakub Blaszczykowski","Maximilian Arnold","Julian Draxler","Bruno Henrique","Mario Gomez","Roman Bürki","Bartra","Raphaël Guerreiro","Sokratis Papastathopoulos","Lukasz Piszczek","Marcel Schmelzer","Mario Götze","Julian Weigl","Ousmane Dembélé","Pierre-Emerick Aubameyang","Christian Pulisic"
"2016-09-20","Darmstadt","Hoffenheim","Michael Esser","Leon Guwara","Alexander Miloševic","Artem Fedetskiy","Immanuel Höhn","Florian Jungwirth","Jérôme Gondorf","Marcel Heller","László Kleinheisler","Roman Bezjak","Antonio Colak","Oliver Baumann","Pavel Kaderábek","Ermin Bicakcic","Sebastian Rudy","Eugen Polanski","Kerem Demirbay","Nadiem Amiri","Kevin Vogt","Sandro Wagner","Mark Uth","Andrej Kramaric"
"2016-09-21","BayernMunich","Hertha","Manuel Neuer","Javi Martínez","Jérôme Boateng","Philipp Lahm","David Alaba","Thiago","Franck Ribéry","Xabi Alonso","Arturo Vidal","Robert Lewandowski","Thomas Müller","Rune Jarstein","Peter Pekarík","Niklas Stark","Sebastian Langkamp","Marvin Plattenhardt","Alexander Esswein","Allan","Mitchell Weiser","Genki Haraguchi","Fabian Lustenberger","Vedad Ibiševic"
"2016-09-21","Schalke04","FCKoln","Ralf Fährmann","Benedikt Höwedes","Abdul Rahman Baba","Sascha Riether","Naldo","Johannes Geis","Max Meyer","Nabil Bentaleb","Alessandro Schöpf","Eric Maxim Choupo-Moting","Klaas Jan Huntelaar","Timo Horn","Dominique Heintz","Frederik Sørensen","Jonas Hector","Mergim Mavraj","Marco Höger","Marcel Risse","Miloš Jojic","Matthias Lehmann","Yuya Osako","Anthony Modeste"
"2016-09-21","RBLeipzig","M'gladbach","Péter Gulácsi","Bernardo","Willi Orban","Marcel Halstenberg","Marvin Compper","Marcel Sabitzer","Stefan Ilsanker","Dominik Kaiser","Diego Demme","Yussuf Poulsen","Timo Werner","Yann Sommer","Andreas Christensen","Jannik Vestergaard","Oscar Wendt","Tobias Strobl","Christoph Kramer","Ibrahima Traoré","Fabian Johnson","André Hahn","Thorgan Hazard","Lars Stindl"
"2016-09-20","Ingolstadt","EinFrankfurt","Ørjan Nyland","Tobias Levels","Markus Suttner","Marcel Tisserand","Marvin Matip","Mathew Leckie","Roger","Pascal Groß","Moritz Hartmann","Dario Lezcano","Lukas Hinterseer","Lukáš Hrádecký","Vallejo","Bastian Oczipka","David Abraham","Timothy Chandler","Szabolcs Huszti","Marco Fabián","Mascarell","Haris Seferovic","Alexander Meier","Ante Rebic"
"2016-09-20","Freiburg","Hamburg","Alexander Schwolow","Manuel Gulde","Pascal Stenzel","Christian Günter","Amir Abrashi","Mike Frantz","Onur Bulut","Nicolas Höfler","Vincenzo Grifo","Florian Niederlechner","Maximilian Philipp","René Adler","Emir Spahic","Johan Djourou","Douglas Santos","Gotoku Sakai","Gideon Jung","Aaron Hunt","Albin Ekdal","Nicolai Müller","Bobby Wood","Luca Waldschmidt"
"2016-09-21","Leverkusen","Augsburg","Bernd Leno","Jonathan Tah","Aleksandar Dragovic","Wendell","Benjamin Henrichs","Lars Bender","Hakan Çalhanoglu","Charles Aránguiz","Kevin Kampl","Javier Hernández","Kevin Volland","Marwin Hitz","Paul Verhaegh","Kostas Stafylidis","Jeffrey Gouweleeuw","Martin Hinteregger","Daniel Baier","Jan Morávek","Ja-cheol Koo","Gojko Kacar","Dong-won Ji","Alfreð Finnbogason"
"2016-09-21","WerderBremen","Mainz","Jaroslav Drobný","Robert Bauer","Clemens Fritz","Niklas Moisander","Theodor Gebre Selassie","Lamine Sané","Izet Hajrovic","Zlatko Junuzovic","Florian Grillitsch","Serge Gnabry","Ousman Manneh","Jonas Lössl","Giulio Donati","Leon Balogun","Daniel Brosinski","Gaëtan Bussmann","Niko Bungert","Levin Öztunali","Yunus Malli","Fabian Frei","Christian Clemens","Jhon Córdoba"
"2016-09-23","Dortmund","Freiburg","Roman Bürki","Sokratis Papastathopoulos","Lukasz Piszczek","Matthias Ginter","Marcel Schmelzer","Mario Götze","Gonzalo Castro","Julian Weigl","Ousmane Dembélé","Emre Mor","Pierre-Emerick Aubameyang","Alexander Schwolow","Aleksandar Ignjovski","Çaglar Söyüncü","Manuel Gulde","Christian Günter","Amir Abrashi","Onur Bulut","Nicolas Höfler","Vincenzo Grifo","Nils Petersen","Maximilian Philipp"
"2016-09-24","Mainz","Leverkusen","Jonas Lössl","Giulio Donati","Leon Balogun","Stefan Bell","Daniel Brosinski","Gaëtan Bussmann","Levin Öztunali","Yunus Malli","Fabian Frei","Pablo de Blasis","Jhon Córdoba","Bernd Leno","Aleksandar Dragovic","Wendell","Ömer Toprak","Benjamin Henrichs","Julian Brandt","Charles Aránguiz","Kevin Kampl","Javier Hernández","Admir Mehmedi","Joel Pohjanpalo"
"2016-09-24","Augsburg","Darmstadt","Marwin Hitz","Paul Verhaegh","Kostas Stafylidis","Jeffrey Gouweleeuw","Martin Hinteregger","Daniel Baier","Ja-cheol Koo","Gojko Kacar","Dong-won Ji","Raúl Bobadilla","Alfreð Finnbogason","Michael Esser","Leon Guwara","Alexander Miloševic","Immanuel Höhn","Florian Jungwirth","Jérôme Gondorf","Peter Niemeyer","Marcel Heller","László Kleinheisler","Roman Bezjak","Antonio Colak"
"2016-09-24","WerderBremen","Wolfsburg","Jaroslav Drobný","Robert Bauer","Clemens Fritz","Miloš Veljkovic","Niklas Moisander","Theodor Gebre Selassie","Izet Hajrovic","Zlatko Junuzovic","Florian Grillitsch","Serge Gnabry","Ousman Manneh","Koen Casteels","Philipp Wollscheid","Jeffrey Bruma","Jannes Horn","Vieirinha","Yannick Gerhardt","Jakub Blaszczykowski","Maximilian Arnold","Paul Seguin","Julian Draxler","Mario Gomez"
"2016-09-25","FCKoln","RBLeipzig","Timo Horn","Dominique Heintz","Frederik Sørensen","Jonas Hector","Mergim Mavraj","Konstantin Rausch","Marcel Risse","Matthias Lehmann","Simon Zoller","Yuya Osako","Anthony Modeste","Péter Gulácsi","Willi Orban","Benno Schmitz","Marcel Halstenberg","Marvin Compper","Marcel Sabitzer","Naby Keïta","Stefan Ilsanker","Oliver Burke","Dominik Kaiser","Davie Selke"
"2016-09-24","M'gladbach","Ingolstadt","Yann Sommer","Andreas Christensen","Oscar Wendt","Tony Jantschke","Julian Korb","Nico Elvedi","Christoph Kramer","Mahmoud Dahoud","Fabian Johnson","André Hahn","Lars Stindl","Ørjan Nyland","Tobias Levels","Markus Suttner","Marcel Tisserand","Marvin Matip","Alfredo Morales","Mathew Leckie","Pascal Groß","Almog Cohen","Moritz Hartmann","Dario Lezcano"
"2016-09-24","Hamburg","BayernMunich","René Adler","Emir Spahic","Johan Djourou","Douglas Santos","Gotoku Sakai","Gideon Jung","Lewis Holtby","Albin Ekdal","Nabil Bahoui","Nicolai Müller","Bobby Wood","Manuel Neuer","Mats Hummels","Javi Martínez","Philipp Lahm","David Alaba","Thiago","Kingsley Coman","Joshua Kimmich","Renato Sanches","Robert Lewandowski","Thomas Müller"
"2016-09-24","EinFrankfurt","Hertha","Lukáš Hrádecký","Vallejo","Bastian Oczipka","David Abraham","Timothy Chandler","Danny Blum","Szabolcs Huszti","Marco Fabián","Mascarell","Haris Seferovic","Alexander Meier","Rune Jarstein","Peter Pekarík","Niklas Stark","Sebastian Langkamp","Marvin Plattenhardt","Per Skjelbred","Valentin Stocker","Mitchell Weiser","Genki Haraguchi","Fabian Lustenberger","Vedad Ibiševic"
"2016-09-25","Hoffenheim","Schalke04","Oliver Baumann","Pavel Kaderábek","Ermin Bicakcic","Jeremy Toljan","Niklas Süle","Sebastian Rudy","Lukas Rupp","Kerem Demirbay","Kevin Vogt","Mark Uth","Andrej Kramaric","Ralf Fährmann","Benedikt Höwedes","Matija Nastasic","Abdul Rahman Baba","Sascha Riether","Leon Goretzka","Nabil Bentaleb","Benjamin Stambouli","Eric Maxim Choupo-Moting","Klaas Jan Huntelaar","Breel Embolo"
"2016-09-30","RBLeipzig","Augsburg","Péter Gulácsi","Bernardo","Willi Orban","Marcel Halstenberg","Marvin Compper","Marcel Sabitzer","Naby Keïta","Emil Forsberg","Diego Demme","Yussuf Poulsen","Timo Werner","Marwin Hitz","Paul Verhaegh","Kostas Stafylidis","Jeffrey Gouweleeuw","Philipp Max","Martin Hinteregger","Daniel Baier","Ja-cheol Koo","Gojko Kacar","Dong-won Ji","Alfreð Finnbogason"
"2016-10-01","Hertha","Hamburg","Rune Jarstein","Niklas Stark","Sebastian Langkamp","Marvin Plattenhardt","Per Skjelbred","Alexander Esswein","Valentin Stocker","Mitchell Weiser","Genki Haraguchi","Fabian Lustenberger","Vedad Ibiševic","René Adler","Cléber Reis","Emir Spahic","Douglas Santos","Gotoku Sakai","Lewis Holtby","Filip Kostic","Albin Ekdal","Nicolai Müller","Bobby Wood","Pierre-Michel Lasogga"
