Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;B365H;B365D;B365A;GBH;GBD;GBA;IWH;IWD;IWA;LBH;LBD;LBA;SOH;SOD;SOA;SBH;SBD;SBA;WHH;WHD;WHA;GB>2.5;GB<2.5;B365>2.5;B365<2.5
D1;19-10-2002;Hamburg;M'gladbach;1;0;H;0;0;D;2;3.2;3.2;1.96;3.2;3.75;2.1;3;3.1;1.91;3.2;3.5;1.91;3.25;3.6;1.909;3.25;3.6;1.9;3.2;3.5;1.65;1.97;;
D1;19-10-2002;Hannover;Werder Bremen;4;4;D;2;1;H;2.75;3.2;2.25;2.92;3.26;2.25;2.6;3;2.4;2.8;3.2;2.2;2.75;3.25;2.25;2.8;3.25;2.25;3;3;2.2;1.65;2.02;;
D1;19-10-2002;Hansa Rostock;Bayern Munich;0;1;A;0;0;D;3.75;3.3;1.8;4.55;3.41;1.77;3.8;3.1;1.8;3.75;3.25;1.8;4;3.25;1.8;4;3.3;1.8;3.75;3.2;1.83;1.7;1.95;;
D1;19-10-2002;Leverkusen;Kaiserslautern;1;0;H;1;0;H;1.615;3.25;5;1.62;3.56;5.2;1.6;3.4;4.6;1.57;3.5;5;1.57;3.4;5.5;1.571;3.5;5.5;1.57;3.3;5.5;1.62;2.22;;
D1;19-10-2002;Munich 1860;Schalke 04;3;0;H;0;0;D;2.5;3.1;2.5;2.61;3.1;2.55;2.4;3;2.6;2.38;3.2;2.6;2.5;3.1;2.6;2.5;3.1;2.6;2.37;3.1;2.62;1.68;2;;
D1;20-10-2002;Bochum;Wolfsburg;4;2;H;1;2;A;2.3;3.2;2.625;2.45;3.15;2.77;2.2;3;2.9;2.38;3.2;2.6;2.38;3.2;2.62;2.375;3.2;2.7;2.3;3.25;2.62;1.75;1.94;;
D1;20-10-2002;Nurnberg;Stuttgart;1;2;A;1;0;H;2.25;3.2;2.75;2.37;3.15;2.8;2.3;3;2.7;2.38;3.2;2.6;2.25;3.2;2.8;2.3;3.2;2.8;2.3;3.1;2.75;1.75;1.95;;
D1;26-10-2002;Bayern Munich;Hannover;3;3;D;1;2;A;1.167;5.5;11;1.23;5.5;11;1.25;4.5;9;1.2;5;11;1.2;5.5;10;1.2;5.5;10;1.2;5;11;1.47;2.53;;
D1;26-10-2002;Bielefeld;Hamburg;2;1;H;1;0;H;2.1;3.2;3;2.15;3.3;3.3;2.1;3;3.1;2.1;3.2;3;2;3.2;3.3;2;3.2;3.3;2.1;3.2;3;1.7;1.9;;
D1;26-10-2002;Hertha;Leverkusen;1;1;D;1;0;H;2;3.2;3.2;2.02;3.25;3.32;2;3.1;3.2;1.91;3.25;3.4;2;3.25;3.25;2;3.25;3.25;2.1;3.1;3.1;1.7;2;;
